Ghotuo,,aaa,,,false,living,individual
Alumu-Tesu,,aab,,,false,living,individual
Ari,,aac,,,false,living,individual
Amal,,aad,,,false,living,individual
Arbëreshë Albanian,,aae,,,false,living,individual
Aranadan,,aaf,,,false,living,individual
Ambrak,,aag,,,false,living,individual
Abu' Arapesh,,aah,,,false,living,individual
Arifama-Miniafia,,aai,,,false,living,individual
Ankave,,aak,,,false,living,individual
Afade,,aal,,,false,living,individual
Aramanik,,aam,,,false,living,individual
Anambé,,aan,,,false,living,individual
Algerian Saharan Arabic,,aao,,,false,living,individual
Pará Arára,,aap,,,false,living,individual
Eastern Abnaki,,aaq,,,false,extinct,individual
Afar,aa,aar,aar,aar,false,living,individual
Aasáx,,aas,,,false,living,individual
Arvanitika Albanian,,aat,,,false,living,individual
Abau,,aau,,,false,living,individual
Solong,,aaw,,,false,living,individual
Mandobo Atas,,aax,,,false,living,individual
Amarasi,,aaz,,,false,living,individual
Abé,,aba,,,false,living,individual
Bankon,,abb,,,false,living,individual
Ambala Ayta,,abc,,,false,living,individual
Manide,,abd,,,false,living,individual
Western Abnaki,,abe,,,false,extinct,individual
Abai Sungai,,abf,,,false,living,individual
Abaga,,abg,,,false,living,individual
Tajiki Arabic,,abh,,,false,living,individual
Abidji,,abi,,,false,living,individual
Aka-Bea,,abj,,,false,extinct,individual
Abkhazian,ab,abk,abk,abk,false,living,individual
Lampung Nyo,,abl,,,false,living,individual
Abanyom,,abm,,,false,living,individual
Abua,,abn,,,false,living,individual
Abon,,abo,,,false,living,individual
Abellen Ayta,,abp,,,false,living,individual
Abaza,,abq,,,false,living,individual
Abron,,abr,,,false,living,individual
Ambonese Malay,,abs,,,false,living,individual
Ambulas,,abt,,,false,living,individual
Abure,,abu,,,false,living,individual
Baharna Arabic,,abv,,,false,living,individual
Pal,,abw,,,false,living,individual
Inabaknon,,abx,,,false,living,individual
Aneme Wake,,aby,,,false,living,individual
Abui,,abz,,,false,living,individual
Achagua,,aca,,,false,living,individual
Áncá,,acb,,,false,living,individual
Gikyode,,acd,,,false,living,individual
Achinese,,ace,ace,ace,false,living,individual
Saint Lucian Creole French,,acf,,,false,living,individual
